Date,TotalClones,UniqueClones
2026-03-22,1,1
2026-03-23,1,1
2026-03-24,1,1
2026-03-25,0,0
2026-03-26,0,0
2026-03-27,0,0
2026-03-28,0,0
2026-03-29,1,1
2026-03-30,0,0
2026-03-31,0,0
2026-04-01,2,2
2026-04-02,0,0
2026-04-03,0,0
2026-04-04,1,1
2026-04-05,94,33
2026-04-06,48,24
2026-04-07,7,2
2026-04-08,13,6
2026-04-09,8,3
2026-04-10,37,16
2026-04-11,13,7
2026-04-12,34,15
2026-04-13,7,2
2026-04-14,12,7
2026-04-15,14,5
2026-04-16,57,28
2026-04-17,6,1
2026-04-18,6,3
2026-04-19,8,4
2026-04-20,4,1
2026-04-21,4,1
2026-04-22,42,21
2026-04-23,82,23
2026-04-24,24,10
2026-04-25,104,52
2026-04-26,30,12
2026-04-27,30,14
2026-04-28,34,18
2026-04-29,25,10
2026-04-30,30,11
2026-05-01,320,32
2026-05-02,33,14
2026-05-03,25,12
2026-05-04,21,7
2026-05-05,39,14
2026-05-06,17,6
2026-05-07,29,11
2026-05-08,32,15
2026-05-09,20,11
2026-05-10,13,5
2026-05-11,21,10
2026-05-12,16,10
2026-05-13,33,10
2026-05-14,24,8
2026-05-15,23,10
2026-05-16,20,8
2026-05-17,22,9
2026-05-18,24,11
2026-05-19,22,10
2026-05-20,19,7
2026-05-21,22,7
2026-05-22,23,7
2026-05-23,18,6
2026-05-24,28,14
2026-05-25,28,12
2026-05-26,24,11
2026-05-27,14,5
2026-05-28,13,5
2026-05-29,18,7
2026-05-30,25,11
2026-05-31,20,10
2026-06-01,26,12
2026-06-02,13,5
2026-06-03,6,1
2026-06-04,16,6
2026-06-05,20,8
2026-06-06,23,10
2026-06-07,31,14
2026-06-08,24,11
2026-06-09,21,9
2026-06-10,8,3
2026-06-11,22,11
2026-06-12,16,5
2026-06-13,33,14
2026-06-14,46,19
2026-06-15,25,10
2026-06-16,16,8
2026-06-17,28,11
2026-06-18,23,9
2026-06-19,58,16
2026-06-20,49,18
2026-06-21,50,18
2026-06-22,36,11
2026-06-23,21,8
2026-06-24,27,7
2026-06-25,193,17
2026-06-26,25,9
2026-06-27,24,10
2026-06-28,28,13
2026-06-29,29,15
2026-06-30,15,6
2026-07-01,21,8
2026-07-02,21,9
2026-07-03,21,9
2026-07-04,8,3
2026-07-05,18,6
2026-07-06,7,2
2026-07-07,23,10
2026-07-08,19,8
2026-07-09,26,12
2026-07-10,9,2
2026-07-11,13,5
2026-07-12,17,8
2026-07-13,9,4
2026-07-14,4,1
2026-07-15,5,2
2026-07-16,5,2
2026-07-17,6,1
2026-07-18,4,1
2026-07-19,4,1
2026-07-20,4,1
2026-07-21,4,1
2026-07-22,4,1
2026-07-23,14,6
2026-07-24,16,5
2026-07-25,7,2
2026-07-26,6,1
2026-07-27,6,1
2026-07-28,9,4
2026-07-29,12,4
