CollectedDate,Path,Title,TotalViews,UniqueVisitors
"2026-04-05","/ZacharyLuz/Get-AzAIModelAvailability","Overview",6,5
"2026-04-05","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",1,1
"2026-04-05","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",1,1
"2026-04-05","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-06","/ZacharyLuz/Get-AzAIModelAvailability","Overview",6,5
"2026-04-06","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",1,1
"2026-04-06","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",1,1
"2026-04-06","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-07","/ZacharyLuz/Get-AzAIModelAvailability","Overview",8,5
"2026-04-07","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-07","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",2,1
"2026-04-07","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-08","/ZacharyLuz/Get-AzAIModelAvailability","Overview",8,5
"2026-04-08","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-08","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",2,1
"2026-04-08","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-09","/ZacharyLuz/Get-AzAIModelAvailability","Overview",9,6
"2026-04-09","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-09","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",2,1
"2026-04-09","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-10","/ZacharyLuz/Get-AzAIModelAvailability","Overview",10,6
"2026-04-10","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-10","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",2,1
"2026-04-10","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-11","/ZacharyLuz/Get-AzAIModelAvailability","Overview",9,6
"2026-04-11","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-11","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",2,1
"2026-04-11","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-12","/ZacharyLuz/Get-AzAIModelAvailability","Overview",9,6
"2026-04-12","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-12","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",2,1
"2026-04-12","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-13","/ZacharyLuz/Get-AzAIModelAvailability","Overview",9,6
"2026-04-13","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-13","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",2,1
"2026-04-13","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-14","/ZacharyLuz/Get-AzAIModelAvailability","Overview",9,6
"2026-04-14","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-14","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",2,1
"2026-04-14","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-15","/ZacharyLuz/Get-AzAIModelAvailability","Overview",9,6
"2026-04-15","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-15","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",2,1
"2026-04-15","/zacharyluz/Get-AzAIModelAvailability","Overview",1,1
"2026-04-23","/ZacharyLuz/Get-AzAIModelAvailability","Overview",36,20
"2026-04-23","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",4,1
"2026-04-23","/ZacharyLuz/Get-AzAIModelAvailability/pull/7","/pull/7",2,1
"2026-04-23","/ZacharyLuz/Get-AzAIModelAvailability/pulls","/pulls",2,1
"2026-04-23","/ZacharyLuz/Get-AzAIModelAvailability/blob/main/Get-AzAIModelAvailability.ps1","/blob/main/Get-AzAIModelAvailability.ps1",1,1
"2026-04-23","/ZacharyLuz/Get-AzAIModelAvailability/blob/main/Protect_Main_Branch.json","/blob/main/Protect_Main_Branch.json",1,1
"2026-04-23","/ZacharyLuz/Get-AzAIModelAvailability/branches","/branches",1,1
"2026-04-23","/ZacharyLuz/Get-AzAIModelAvailability/deployments","/deployments",1,1
"2026-04-23","/ZacharyLuz/Get-AzAIModelAvailability/tree/main/.github","/tree/main/.github",1,1
"2026-04-23","/ZacharyLuz/Get-AzAIModelAvailability/tree/main/tests","/tree/main/tests",1,1
"2026-04-24","/ZacharyLuz/Get-AzAIModelAvailability","Overview",38,20
"2026-04-24","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",4,1
"2026-04-24","/ZacharyLuz/Get-AzAIModelAvailability/pull/7","/pull/7",2,1
"2026-04-24","/ZacharyLuz/Get-AzAIModelAvailability/pulls","/pulls",2,1
"2026-04-24","/ZacharyLuz/Get-AzAIModelAvailability/blob/main/Get-AzAIModelAvailability.ps1","/blob/main/Get-AzAIModelAvailability.ps1",1,1
"2026-04-24","/ZacharyLuz/Get-AzAIModelAvailability/blob/main/Protect_Main_Branch.json","/blob/main/Protect_Main_Branch.json",1,1
"2026-04-24","/ZacharyLuz/Get-AzAIModelAvailability/branches","/branches",1,1
"2026-04-24","/ZacharyLuz/Get-AzAIModelAvailability/deployments","/deployments",1,1
"2026-04-24","/ZacharyLuz/Get-AzAIModelAvailability/tree/main/.github","/tree/main/.github",1,1
"2026-04-24","/ZacharyLuz/Get-AzAIModelAvailability/tree/main/tests","/tree/main/tests",1,1
"2026-04-25","/ZacharyLuz/Get-AzAIModelAvailability","Overview",40,21
"2026-04-25","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",5,2
"2026-04-25","/ZacharyLuz/Get-AzAIModelAvailability/deployments","/deployments",3,1
"2026-04-25","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-25","/ZacharyLuz/Get-AzAIModelAvailability/pull/7","/pull/7",2,1
"2026-04-25","/ZacharyLuz/Get-AzAIModelAvailability/pulls","/pulls",2,1
"2026-04-25","/ZacharyLuz/Get-AzAIModelAvailability/blob/main/Get-AzAIModelAvailability.ps1","/blob/main/Get-AzAIModelAvailability.ps1",1,1
"2026-04-25","/ZacharyLuz/Get-AzAIModelAvailability/blob/main/Protect_Main_Branch.json","/blob/main/Protect_Main_Branch.json",1,1
"2026-04-25","/ZacharyLuz/Get-AzAIModelAvailability/branches","/branches",1,1
"2026-04-25","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",1,1
"2026-04-26","/ZacharyLuz/Get-AzAIModelAvailability","Overview",40,21
"2026-04-26","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",5,2
"2026-04-26","/ZacharyLuz/Get-AzAIModelAvailability/deployments","/deployments",3,1
"2026-04-26","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-26","/ZacharyLuz/Get-AzAIModelAvailability/pull/7","/pull/7",2,1
"2026-04-26","/ZacharyLuz/Get-AzAIModelAvailability/pulls","/pulls",2,1
"2026-04-26","/ZacharyLuz/Get-AzAIModelAvailability/blob/main/Get-AzAIModelAvailability.ps1","/blob/main/Get-AzAIModelAvailability.ps1",1,1
"2026-04-26","/ZacharyLuz/Get-AzAIModelAvailability/blob/main/Protect_Main_Branch.json","/blob/main/Protect_Main_Branch.json",1,1
"2026-04-26","/ZacharyLuz/Get-AzAIModelAvailability/branches","/branches",1,1
"2026-04-26","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",1,1
"2026-04-27","/ZacharyLuz/Get-AzAIModelAvailability","Overview",40,21
"2026-04-27","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",5,2
"2026-04-27","/ZacharyLuz/Get-AzAIModelAvailability/deployments","/deployments",3,1
"2026-04-27","/ZacharyLuz/Get-AzAIModelAvailability/graphs/traffic","/graphs/traffic",2,1
"2026-04-27","/ZacharyLuz/Get-AzAIModelAvailability/pull/7","/pull/7",2,1
"2026-04-27","/ZacharyLuz/Get-AzAIModelAvailability/pulls","/pulls",2,1
"2026-04-27","/ZacharyLuz/Get-AzAIModelAvailability/blob/main/Get-AzAIModelAvailability.ps1","/blob/main/Get-AzAIModelAvailability.ps1",1,1
"2026-04-27","/ZacharyLuz/Get-AzAIModelAvailability/blob/main/Protect_Main_Branch.json","/blob/main/Protect_Main_Branch.json",1,1
"2026-04-27","/ZacharyLuz/Get-AzAIModelAvailability/branches","/branches",1,1
"2026-04-27","/ZacharyLuz/Get-AzAIModelAvailability/pulse","/pulse",1,1
"2026-04-28","/ZacharyLuz/Get-AzAIModelAvailability","Overview",43,21
"2026-04-28","/ZacharyLuz/Get-AzAIModelAvailability/deployments/github-pages","/deployments/github-pages",8,2
"2026-04-28","/ZacharyLuz/Get-AzAIModelAvailability/deployments","/deployments",3,1
