CollectedDate,Referrer,TotalViews,UniqueVisitors
"2026-04-05","github.com",5,2
"2026-04-06","github.com",5,2
"2026-04-07","github.com",9,2
"2026-04-08","github.com",9,2
"2026-04-09","github.com",9,2
"2026-04-10","github.com",10,2
"2026-04-11","github.com",10,2
"2026-04-12","github.com",10,2
"2026-04-13","github.com",10,2
"2026-04-14","github.com",10,2
"2026-04-15","github.com",10,2
"2026-04-23","github.com",18,2
"2026-04-23","statics.teams.cdn.office.net",16,10
"2026-04-23","Bing",1,1
"2026-04-24","statics.teams.cdn.office.net",18,10
"2026-04-24","github.com",17,1
"2026-04-24","Bing",1,1
"2026-04-25","github.com",23,2
"2026-04-25","statics.teams.cdn.office.net",18,10
"2026-04-25","Bing",1,1
"2026-04-26","github.com",23,2
"2026-04-26","statics.teams.cdn.office.net",18,10
"2026-04-26","Bing",1,1
"2026-04-27","github.com",23,2
"2026-04-27","statics.teams.cdn.office.net",18,10
"2026-04-27","Bing",1,1
"2026-04-28","github.com",26,2
"2026-04-28","statics.teams.cdn.office.net",18,10
"2026-04-28","Bing",1,1
"2026-04-29","github.com",27,3
"2026-04-29","statics.teams.cdn.office.net",18,10
"2026-04-29","Bing",1,1
"2026-04-30","github.com",27,3
"2026-04-30","statics.teams.cdn.office.net",18,10
"2026-04-30","Bing",1,1
"2026-05-01","github.com",19,4
"2026-05-01","statics.teams.cdn.office.net",4,2
"2026-05-01","Bing",2,1
"2026-05-01","teams.public.onecdn.static.microsoft",1,1
"2026-05-02","github.com",13,4
"2026-05-02","statics.teams.cdn.office.net",3,2
"2026-05-02","Bing",2,1
"2026-05-02","teams.public.onecdn.static.microsoft",1,1
"2026-05-03","github.com",13,4
"2026-05-03","statics.teams.cdn.office.net",3,2
"2026-05-03","Bing",2,1
"2026-05-03","teams.public.onecdn.static.microsoft",1,1
"2026-05-04","github.com",13,4
"2026-05-04","statics.teams.cdn.office.net",3,2
"2026-05-04","Bing",2,1
"2026-05-04","teams.public.onecdn.static.microsoft",1,1
"2026-05-05","github.com",13,4
"2026-05-05","statics.teams.cdn.office.net",3,2
"2026-05-05","Bing",2,1
"2026-05-05","teams.public.onecdn.static.microsoft",1,1
"2026-05-06","github.com",13,4
"2026-05-06","statics.teams.cdn.office.net",3,2
"2026-05-06","Bing",2,1
"2026-05-06","teams.public.onecdn.static.microsoft",1,1
"2026-05-07","github.com",12,4
"2026-05-07","statics.teams.cdn.office.net",3,2
"2026-05-07","Bing",2,1
"2026-05-07","teams.public.onecdn.static.microsoft",1,1
"2026-05-08","github.com",12,4
"2026-05-08","Bing",2,1
"2026-05-08","statics.teams.cdn.office.net",1,1
"2026-05-08","teams.public.onecdn.static.microsoft",1,1
"2026-05-09","github.com",6,4
"2026-05-09","teams.public.onecdn.static.microsoft",2,2
"2026-05-09","Bing",2,1
"2026-05-09","statics.teams.cdn.office.net",1,1
"2026-05-10","github.com",6,4
"2026-05-10","statics.teams.cdn.office.net",2,2
"2026-05-10","teams.public.onecdn.static.microsoft",2,2
"2026-05-10","Bing",2,1
"2026-05-11","github.com",4,4
"2026-05-11","statics.teams.cdn.office.net",2,2
"2026-05-11","teams.public.onecdn.static.microsoft",2,2
"2026-05-11","Bing",2,1
"2026-05-12","github.com",6,3
"2026-05-12","statics.teams.cdn.office.net",2,2
"2026-05-12","teams.public.onecdn.static.microsoft",2,2
"2026-05-12","Bing",2,1
"2026-05-12","zacharyluz.github.io",1,1
"2026-05-13","github.com",5,2
"2026-05-13","statics.teams.cdn.office.net",2,2
"2026-05-13","teams.public.onecdn.static.microsoft",2,2
"2026-05-13","Bing",2,1
"2026-05-13","zacharyluz.github.io",1,1
"2026-05-14","github.com",5,1
"2026-05-14","statics.teams.cdn.office.net",2,2
"2026-05-14","teams.public.onecdn.static.microsoft",2,2
"2026-05-14","Bing",2,1
"2026-05-14","zacharyluz.github.io",1,1
"2026-05-15","github.com",5,1
"2026-05-15","statics.teams.cdn.office.net",2,2
"2026-05-15","teams.public.onecdn.static.microsoft",1,1
"2026-05-15","zacharyluz.github.io",1,1
"2026-05-16","statics.teams.cdn.office.net",4,3
"2026-05-16","github.com",4,1
"2026-05-16","teams.public.onecdn.static.microsoft",1,1
"2026-05-16","zacharyluz.github.io",1,1
"2026-05-17","statics.teams.cdn.office.net",4,3
"2026-05-17","github.com",4,1
"2026-05-17","teams.public.onecdn.static.microsoft",1,1
"2026-05-17","zacharyluz.github.io",1,1
"2026-05-18","statics.teams.cdn.office.net",4,3
"2026-05-18","github.com",4,1
"2026-05-18","teams.public.onecdn.static.microsoft",1,1
"2026-05-18","zacharyluz.github.io",1,1
"2026-05-19","statics.teams.cdn.office.net",4,3
"2026-05-19","github.com",4,1
"2026-05-19","teams.public.onecdn.static.microsoft",1,1
"2026-05-19","zacharyluz.github.io",1,1
"2026-05-20","github.com",5,2
"2026-05-20","statics.teams.cdn.office.net",4,3
"2026-05-20","teams.public.onecdn.static.microsoft",1,1
"2026-05-20","zacharyluz.github.io",1,1
"2026-05-21","github.com",5,2
"2026-05-21","statics.teams.cdn.office.net",3,2
"2026-05-21","teams.public.onecdn.static.microsoft",1,1
"2026-05-21","zacharyluz.github.io",1,1
"2026-05-22","github.com",5,2
"2026-05-22","statics.teams.cdn.office.net",3,2
"2026-05-22","teams.public.onecdn.static.microsoft",1,1
"2026-05-22","zacharyluz.github.io",1,1
"2026-05-23","github.com",5,2
"2026-05-23","statics.teams.cdn.office.net",3,2
"2026-05-23","microsoft.sharepoint.com",1,1
"2026-05-23","teams.public.onecdn.static.microsoft",1,1
"2026-05-23","zacharyluz.github.io",1,1
"2026-05-24","github.com",5,2
"2026-05-24","statics.teams.cdn.office.net",2,1
"2026-05-24","microsoft.sharepoint.com",1,1
"2026-05-24","teams.public.onecdn.static.microsoft",1,1
"2026-05-24","zacharyluz.github.io",1,1
"2026-05-25","github.com",5,2
"2026-05-25","statics.teams.cdn.office.net",2,1
"2026-05-25","microsoft.sharepoint.com",1,1
"2026-05-25","teams.public.onecdn.static.microsoft",1,1
"2026-05-25","zacharyluz.github.io",1,1
"2026-05-26","github.com",2,2
"2026-05-26","statics.teams.cdn.office.net",2,1
"2026-05-26","microsoft.sharepoint.com",1,1
"2026-05-26","teams.public.onecdn.static.microsoft",1,1
"2026-05-27","github.com",2,2
"2026-05-27","statics.teams.cdn.office.net",2,1
"2026-05-27","microsoft.sharepoint.com",1,1
"2026-05-27","teams.public.onecdn.static.microsoft",1,1
"2026-05-28","statics.teams.cdn.office.net",2,1
"2026-05-28","github.com",1,1
"2026-05-28","microsoft.sharepoint.com",1,1
"2026-05-28","teams.public.onecdn.static.microsoft",1,1
"2026-05-29","statics.teams.cdn.office.net",2,1
"2026-05-29","github.com",1,1
"2026-05-29","microsoft.sharepoint.com",1,1
"2026-05-29","teams.public.onecdn.static.microsoft",1,1
"2026-05-30","github.com",1,1
"2026-05-30","microsoft.sharepoint.com",1,1
"2026-05-30","teams.public.onecdn.static.microsoft",1,1
"2026-05-31","github.com",1,1
"2026-05-31","microsoft.sharepoint.com",1,1
"2026-05-31","teams.public.onecdn.static.microsoft",1,1
"2026-06-01","github.com",1,1
"2026-06-01","microsoft.sharepoint.com",1,1
"2026-06-01","teams.public.onecdn.static.microsoft",1,1
"2026-06-02","github.com",1,1
"2026-06-02","microsoft.sharepoint.com",1,1
"2026-06-02","teams.public.onecdn.static.microsoft",1,1
"2026-06-03","github.com",1,1
"2026-06-03","microsoft.sharepoint.com",1,1
"2026-06-03","teams.public.onecdn.static.microsoft",1,1
"2026-06-04","github.com",1,1
"2026-06-04","microsoft.sharepoint.com",1,1
"2026-06-04","teams.public.onecdn.static.microsoft",1,1
"2026-06-05","github.com",1,1
"2026-06-05","microsoft.sharepoint.com",1,1
"2026-06-05","teams.public.onecdn.static.microsoft",1,1
"2026-06-06","github.com",1,1
"2026-06-07","github.com",1,1
"2026-06-08","github.com",1,1
"2026-06-09","github.com",1,1
"2026-06-10","github.com",1,1
"2026-06-11","github.com",1,1
"2026-06-12","github.com",1,1
"2026-06-13","github.com",1,1
"2026-06-14","github.com",1,1
"2026-06-15","github.com",1,1
"2026-06-16","github.com",1,1
"2026-06-25","github.com",2,2
"2026-06-26","github.com",2,2
"2026-06-27","github.com",3,2
"2026-06-27","teams.public.onecdn.static.microsoft",1,1
"2026-06-28","github.com",3,2
"2026-06-28","teams.public.onecdn.static.microsoft",1,1
"2026-06-29","github.com",3,2
"2026-06-29","teams.public.onecdn.static.microsoft",1,1
"2026-06-30","github.com",3,2
"2026-06-30","teams.public.onecdn.static.microsoft",1,1
"2026-07-01","github.com",3,2
"2026-07-01","teams.public.onecdn.static.microsoft",1,1
"2026-07-02","github.com",3,2
"2026-07-02","teams.public.onecdn.static.microsoft",1,1
"2026-07-03","github.com",3,2
"2026-07-03","teams.public.onecdn.static.microsoft",1,1
"2026-07-04","github.com",3,2
"2026-07-04","teams.public.onecdn.static.microsoft",1,1
"2026-07-05","github.com",3,2
"2026-07-05","teams.public.onecdn.static.microsoft",1,1
"2026-07-06","github.com",3,2
"2026-07-06","teams.public.onecdn.static.microsoft",1,1
"2026-07-07","github.com",3,2
"2026-07-07","teams.public.onecdn.static.microsoft",1,1
"2026-07-08","github.com",3,2
"2026-07-08","teams.public.onecdn.static.microsoft",1,1
"2026-07-09","github.com",3,2
"2026-07-09","teams.public.onecdn.static.microsoft",1,1
"2026-07-10","github.com",1,1
"2026-07-10","teams.public.onecdn.static.microsoft",1,1
"2026-07-11","microsoft.sharepoint.com",2,1
"2026-07-12","microsoft.sharepoint.com",2,1
"2026-07-13","microsoft.sharepoint.com",2,1
"2026-07-23","microsoft.sharepoint.com",3,2
"2026-07-24","microsoft.sharepoint.com",3,2
"2026-07-25","Bing",3,1
"2026-07-25","microsoft.sharepoint.com",1,1
"2026-07-26","Bing",3,1
"2026-07-26","microsoft.sharepoint.com",1,1
"2026-07-27","Bing",3,1
"2026-07-27","microsoft.sharepoint.com",1,1
"2026-07-28","Bing",3,1
"2026-07-28","microsoft.sharepoint.com",1,1
"2026-07-29","Bing",3,1
"2026-07-30","Bing",3,1
"2026-07-31","Bing",4,2
"2026-08-01","Bing",5,2
"2026-08-02","Bing",5,2
"2026-08-03","Bing",5,2
"2026-08-04","Bing",5,2
"2026-08-05","Bing",5,2
"2026-08-06","Bing",5,2
"2026-08-07","Bing",5,2
"2026-08-07","github.com",1,1
"2026-08-07","microsoft.sharepoint.com",1,1
"2026-08-08","Bing",2,1
"2026-08-08","github.com",1,1
"2026-08-08","microsoft.sharepoint.com",1,1
"2026-08-09","Bing",2,1
"2026-08-09","github.com",1,1
"2026-08-09","microsoft.sharepoint.com",1,1
"2026-08-10","Bing",2,1
"2026-08-10","github.com",1,1
"2026-08-10","microsoft.sharepoint.com",1,1
"2026-08-11","Bing",2,1
"2026-08-11","github.com",1,1
"2026-08-11","microsoft.sharepoint.com",1,1
"2026-08-12","Bing",3,2
"2026-08-12","github.com",1,1
"2026-08-12","microsoft.sharepoint.com",1,1
"2026-08-13","Bing",4,3
"2026-08-13","github.com",1,1
"2026-08-13","microsoft.sharepoint.com",1,1
